"source_associate_id","kwuid","growth_share_sponsor_source_id","proposed_growth_share_sponsor","temporary_growth_share_sponsor","vested","vesting_start_period","listing_approval_required","exclude_from_individual_reports","source_market_center_id","source_team_id"
"339","426475","129","","false","false","2015-11-02T00:00:00","true","false","57",""
"340","426634","706","","false","false","2015-11-10T00:00:00","true","false","28",""
"341","426985","158","","false","true","2015-11-04T00:00:00","true","false","43",""
"342","426790","","","false","true","2015-11-13T00:00:00","true","false","54",""
"343","426992","94","","false","true","2015-11-12T00:00:00","true","false","61",""
"344","426990","729","","false","false","2015-11-05T00:00:00","true","false","44",""
"345","426988","750","","false","false","2015-11-01T00:00:00","true","false","43",""
"346","426987","750","","false","true","2018-05-11T00:00:00","true","false","43",""
"347","427313","780","","false","true","2015-11-06T00:00:00","true","false","54",""
"348","427854","191","","false","true","2015-11-18T00:00:00","true","false","31","52"
"349","427852","687","","false","false","2015-11-16T00:00:00","true","false","124",""
"350","428652","663","","false","false","2015-12-01T00:00:00","false","false","44",""
"351","428649","716","","false","true","2015-12-01T00:00:00","true","false","60",""
"352","428645","94","","false","true","2015-12-01T00:00:00","true","false","45",""
"353","429457","261","","false","true","2015-12-02T00:00:00","true","false","57",""
"354","429456","129","","false","false","2015-12-01T00:00:00","true","false","57",""
"355","428400","841","","false","true","2022-12-06T00:00:00","true","false","71",""
"356","428399","204","","false","true","2022-07-13T00:00:00","true","false","184",""
"357","429724","149","","false","true","2015-12-09T00:00:00","true","false","54","62"
"358","429712","712","","false","true","2015-12-01T00:00:00","true","false","37",""
"359","429889","94","","false","true","2015-12-07T00:00:00","true","false","45",""
"360","429896","151","","false","true","2015-12-01T00:00:00","true","false","54","62"
"361","432446","67","","false","true","2017-10-09T00:00:00","true","false","71",""
"362","428642","164","","false","true","2015-12-01T00:00:00","true","false","44",""
"363","428638","721","","false","true","2015-12-01T00:00:00","true","false","54",""
"364","428637","349","","false","false","2018-02-01T00:00:00","false","false","124",""
"365","428636","","","false","true","2015-12-01T00:00:00","true","false","50",""
"366","428910","94","","false","false","2015-12-01T00:00:00","false","false","158",""
"367","429246","676","","false","false","2015-12-01T00:00:00","true","false","71",""
"368","429455Delete","716","","false","true","2015-12-01T00:00:00","true","false","60",""
"369","429458","179","","false","true","2015-12-07T00:00:00","true","false","47",""
